True_Value,Predicted_Value,Set
17.9088,17.627534676607606,Train
-1.8942,-1.3391241077966072,Train
-3.3866,-2.1778508643181347,Train
10.2746,5.602619756559538,Train
5.9696,4.902447054051793,Train
16.1868,15.027974971261179,Train
4.879,4.391854173490008,Train
6.4862,5.512874688314249,Train
15.3258,12.671194677004083,Train
-5.9696,0.017733855343061933,Train
5.8548,6.540249092632631,Train
10.906,10.310514323169492,Train
9.8154,9.909100351355155,Train
10.3894,12.422252229481408,Train
18.4828,19.34636514602642,Train
14.4648,13.677443314844268,Train
12.7428,10.442924905652875,Train
7.9786,9.952737205397593,Train
-6.5436,-6.649340869552402,Train
-11.0782,-7.3898013627028405,Train
20.2622,17.03061006092703,Train
0.1148,0.26677847513110553,Train
21.8694,17.721250117935472,Train
-8.2656,-5.286857089787169,Train
8.7248,6.766526226200744,Train
11.7096,10.563869885784523,Train
-3.0996,-0.3141674762555535,Train
11.9392,13.185684267111284,Train
11.767,10.696567471644425,Train
14.1204,15.5187081719247,Train
18.1384,17.451887268830824,Train
-5.6826,-5.083484890122069,Train
6.9454,4.84828606249407,Train
18.0236,16.89774355158021,Train
1.5498,2.1680076305561107,Train
-1.148,3.396116588670689,Train
6.3714,7.586091930107951,Train
7.0028,5.640750720707765,Train
5.1086,5.273397303662089,Train
10.5042,8.729568514839748,Train
10.1598,8.648882186508429,Train
17.9088,14.501652179080285,Train
11.9392,13.823532924444386,Train
5.9696,4.9303209996888615,Train
6.7732,4.386697074793906,Train
18.0236,16.89774355158021,Train
12.341,13.005805544577019,Train
-3.7884,-0.8198381451581191,Train
8.4952,8.80220647013723,Train
-1.8368,1.084113179352995,Train
-13.4316,-9.64729890909808,Train
1.0332,2.1825419138982607,Train
15.211,15.976895170803552,Train
-11.0208,-5.384033952103874,Train
16.0146,13.084155827712447,Train
